;;;;;;;Grundsicherung für Arbeitsuchende nach dem SGB II
;;;;;;;
1. Leistungskürzung durch Sanktion gegenüber erwerbsfähigen Leistungsberechtigten (ELB);;;;;;;
Deutschland, West/Ost, Länder und Jobcenter;;;;;;;
Berichtsmonat September 2021;;;;;;;
;;;;;;;
Lesehilfe:  Die Sanktionen bewirkten bundesweit bei knapp 34.000 ELB mit mindestens einer Sanktion im Berichtsmonat September 2021;;;;;;;
eine durchschnittliche Kürzung des laufenden Leistungsanspruchs um 16%. Dies entspricht einer durchschnittlichen Kürzung um 99 Euro. ;;;;;;;
;;;;;;;
Regionen;Träger-nummer;Insgesamt;;;dar. unter 25 Jahre;;
;;Bestand ELB mit mindestens einer Sanktion;"Leistungskürzung 
durch Sanktion 
in % 1)";"Durchschnittliche Höhe der 
Kürzungen von Gesamtregelleistung durch Sanktion 
in Euro 
(bezogen auf alle ELB mit mindestens einer Sanktion)";Bestand ELB mit mindestens einer Sanktion;"Leistungskürzung 
durch Sanktion 
in % 1)";"Durchschnittliche Höhe der 
Kürzungen von Gesamtregelleistung durch Sanktion 
in Euro 
(bezogen auf alle ELB mit mindestens einer Sanktion)"
;;;;;;;
JC Fürth, Stadt;72902;47;13,1;88,06;*;25;119,7
JC Fürth, Land;72904;20;14,9;103,8;9;15;113,41
JC Erlangen, Stadt;72906;7;14,9;99,37;-;0;0
JC Erlangen-Höchstadt;72908;4;14,8;81,59;-;0;0
JC Neustadt adAisch-Bad Windsheim;72910;22;17;96,81;*;28,6;89,25
JC Nürnberg, Stadt;73514;113;13,8;92,63;9;8,2;45,6
JC Nürnberger Land;73522;28;16,1;99,2;-;0;0
JC Schwabach, Stadt;73524;7;16,9;92,99;3;23,3;102,55
JC Neumarkt idOPf;73902;20;20;123,75;*;18,7;107,1
JC Regensburg, Stadt;73904;10;21,9;163,67;*;54,7;446
JC Regensburg;73906;21;14,5;81,46;5;9,5;69,9
JC Kelheim;73908;12;16,5;100,68;*;17,6;107,1
JC Amberg-Sulzbach;74302;28;21,3;118,23;*;14,9;133,8
JC Cham;74306;4;20,4;123,74;-;0;0
JC Schwandorf;74308;29;19,2;114,17;*;23,6;96,96
JC Bad Kissingen;74702;6;23,4;129,3;*;26;133,8
JC Haßberge;74704;6;15,1;87,94;*;15,2;77,81
JC Rhön-Grabfeld;74706;20;23,5;115,53;*;52,6;107,1
JC Schweinfurt, Stadt;74708;40;14,8;86,15;*;19,5;92,11
JC Schweinfurt;74710;15;19,6;118,69;*;15,7;83,59
JC Neustadt-Weiden;75102;14;19,3;111,49;*;14,8;86,27
JC Tirschenreuth;75104;28;17,4;94,75;*;14,8;60,68
JC Kitzingen;75902;13;27,3;122,86;7;33,1;121,15
JC Würzburg, Stadt;75906;50;16,7;105,8;*;17,7;97,63
JC Würzburg;75908;31;15,3;99,49;*;14,5;92,78
JC Main-Spessart;75910;16;21,3;121,85;*;34,2;166
JC Aichach-Friedberg;81102;4;16,6;70,2;*;10,1;40,15
JC Augsburg, Stadt;81104;97;18,2;119,91;10;20,8;84,04
JC Augsburg;81110;96;17,9;112,12;13;22,4;100,62
JC Deggendorf;81502;10;18,6;113,52;*;11,3;45,91
JC Regen;81504;10;17,7;119,51;3;16,3;95,17
JC Straubing-Bogen;81512;54;17,6;109,92;8;15,2;76,83
JC Dillingen adDonau;81904;29;16,2;100,46;*;17;80,3
JC Donau-Ries;81906;30;19,5;114,51;*;22,2;82,02
JC Günzburg;81910;35;17,8;99,93;*;21,5;80,38
JC Neu-Ulm;81912;104;22;124,46;11;31,4;148,23
JC Erding;82302;12;21,3;93,34;6;21,9;86,43
JC Freising;82304;-;-;-;-;-;-
JC Dachau;82306;46;18,2;131,46;3;40,6;225,16
JC Ebersberg;82308;10;15,3;97,68;*;12,4;133,8
JC Eichstätt;82702;36;21,9;115,36;5;22,7;85,66
JC Neuburg-Schrobenhausen;82706;23;17,6;104,3;*;21,2;98,7
JC Pfaffenhofen a.d. Ilm;82708;30;16,7;93,69;3;24,3;139,77
JC Ingolstadt, Stadt;82746;90;12,1;85,19;25;13,8;87,67
JC Kempten (Allgäu), Stadt;83104;52;17;114,58;*;18,9;103,82
JC Lindau (Bodensee);83106;21;15,3;113,19;*;17,1;101,1
JC Ostallgäu;83110;14;13;100,66;*;18,4;84,75
JC Memmingen, Stadt;83112;21;18,2;120,01;-;0;0
JC Unterallgäu;83114;21;22;108,83;4;25;118,28
JC Oberallgäu;83142;19;14,6;85,67;*;11,4;40,14
JC Kaufbeuren, Stadt;83148;7;17,4;108,36;*;16,7;73,8
JC Dingolfing-Landau;83502;21;19,6;115,95;*;20,8;77,3
JC Landshut, Stadt;83504;22;20,1;122,89;-;0;0
JC Landshut;83506;21;19,7;122,4;*;9,5;35,7
JC Rottal-Inn;83510;14;21,6;120,39;*;24,7;109,27
JC München, Landeshauptstadt;84308;262;14,4;102,83;71;17,7;86,19
JC München;84358;8;13;81,41;*;25,3;83,3
JC Freyung-Grafenau;84702;31;18,7;110,78;*;25,4;112,39
JC Passau, Stadt;84704;38;19,8;122,7;*;21,6;122,36
JC Passau;84706;163;16,4;94,31;29;19,1;92,37
